artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
IQ,Soca Start,0.848,0.825,11,-4.287,1,0.109,0.0674,1.14e-06,0.0905,0.669,129.97,141296,4
Travis World,Mind My Business,0.806,0.886,6,-5.017,1,0.0526,0.00522,1.36e-05,0.104,0.735,125.043,119040,4
Motto,Chicken and Rice,0.636,0.903,7,-4.863,1,0.137,0.0141,0,0.555,0.306,110.036,121704,4
Erphaan Alves,Pick A Side,0.682,0.96,2,-3.474,1,0.173,0.192,0,0.0938,0.835,156.995,176561,4
Patrice Roberts,Splash,0.89,0.846,5,-3.846,0,0.0362,0.0853,1.58e-06,0.34,0.64,109.972,154909,4
Skinny Fabulous,Famalay,0.745,0.915,6,-4.108,1,0.155,0.0392,2.64e-06,0.0814,0.806,149.971,199021,4
Patrice Roberts,A Little Wine,0.69,0.878,1,-5.248,1,0.0695,0.138,0,0.111,0.804,124.979,203520,4
Kes,Savannah Grass,0.708,0.879,8,-5.222,1,0.0419,0.00351,3.44e-05,0.106,0.37,124.946,179520,4
Mr. Killa,Party Bad,0.953,0.843,7,-4.27,1,0.129,0.154,0,0.0761,0.906,134.021,173731,4
Olatunji,Ola,0.921,0.479,0,-6.704,1,0.294,0.423,0,0.0605,0.79,125.937,186393,4
Machel Montano,Facts,0.723,0.843,0,-4.452,1,0.0404,0.207,0,0.226,0.877,157.994,221769,4
Wetty Beatz,Bottle over Head,0.823,0.71,6,-7.832,1,0.048,0.0227,0.00468,0.117,0.638,130.007,208615,4
Stefflon Don,Clockwork (feat. Spice),0.902,0.797,11,-5.494,1,0.169,0.367,6.84e-05,0.15,0.962,104.981,152917,4
Nicki Minaj,Likkle Miss - THE FINE NINE REMIX,0.66,0.811,1,-5.626,1,0.342,0.0968,0,0.122,0.734,100.047,370514,4
Patrice Roberts,Carry On,0.749,0.91,11,-3.07,1,0.0527,0.0209,0.000241,0.0749,0.923,105.998,237131,4
Mura Masa,blessing me (with Pa Salieu & Skillibeng),0.576,0.66,8,-6.022,0,0.421,0.376,0,0.0777,0.797,200.087,165507,4
Heph B,BIG BOY,0.802,0.808,1,-4.43,0,0.172,0.186,2.37e-06,0.12,0.852,113.041,213277,4
King Bubba Fm,Blessings (Raise Your Glass),0.668,0.958,0,-3.166,1,0.0409,0.0115,4.55e-05,0.359,0.841,131.969,157301,4
Skinny Fabulous,Danger,0.63,0.878,8,-4.236,1,0.0396,0.639,0,0.145,0.325,164.961,164364,4
Skinny Fabulous,Showers,0.657,0.841,6,-3.211,1,0.0886,0.131,0,0.0892,0.884,159.915,206853,4
Spice,Love Triangle (Pum Pum),0.71,0.472,7,-12.076,1,0.513,0.0677,0,0.0783,0.755,130.438,166200,5
Machel Montano,Fast Wine,0.887,0.892,2,-2.346,1,0.0473,0.0381,3.27e-05,0.0787,0.574,107.996,204828,4
Charly Black,Gyal You A Party Animal,0.588,0.841,0,-5.138,1,0.0932,0.026,0,0.33,0.871,134.577,214867,5
Flavour,Nwa Baby (Ashawo Remix),0.767,0.973,1,0.074,1,0.0742,0.12,0.374,0.113,0.958,100.624,262347,4
Serani,Slowly,0.687,0.789,8,-3.635,1,0.0553,0.036,2.26e-06,0.0488,0.656,100.057,193747,4
Temptress,Ah Doh Have: Dennis Riddim (Remix),0.75,0.745,5,-8.186,0,0.142,0.253,0.0342,0.207,0.654,152.927,167539,4
Vybz Kartel,Wine to the Top,0.832,0.878,7,-2.878,0,0.187,0.424,0,0.0733,0.88,104.979,219450,4
Yung Bredda,Feel It,0.892,0.776,1,-5.007,1,0.208,0.313,1.06e-06,0.114,0.734,133.482,180273,4
Mical Teja,Dingolay,0.731,0.805,1,-4.603,1,0.0736,0.0211,0.0382,0.0791,0.457,106.01,207034,4
