artist,title
Sam Smith & Kim Petras,Unholy
blink-182,EDGING
Queen,Face It Alone
David Guetta & Bebe Rexha,I'm Good (Blue)
Kane Brown & Katelyn Brown,Thank God
Jelly Roll,Son Of A Sinner
HARDY & Lainey Wilson,wait in the truck
Fleetwood Mac,Everywhere
Morgan Wallen,You Proof
Christina Perri,A Thousand Years
Charlie Puth & Jung Kook,Left and Right
OneRepublic,I Ain't Worried
Ed Sheeran,Shivers
Sia,Unstoppable
Morgan Wallen,Wasted On You
Beyoncé,CUFF IT
Bailey Zimmerman,Fall In Love
Chris Brown,Under the Influence
Luke Combs,The Kind of Love We Make
Cole Swindell,She Had Me At Heads Carolina
Nicki Minaj,Super Freaky Girl
Harry Styles,As It Was
Ed Sheeran,Celestial
Zach Bryan,Something in the Orange (Z&E's Version)
Eminem,Lose Yourself
Nicky Youre & Dazy,Sunroof
Lizzo,About Damn Time
Post Malone,I Like You (A Happier Song) [feat. Doja Cat]
Lady Gaga & Bradley Cooper,Shallow
Jax,Victoria’s Secret
Rascal Flatts,Life Is a Highway
Jordan Davis,What My World Spins Around
Elton John & Britney Spears,Hold Me Closer
No Resolve,Come Back Stronger
Bailey Zimmerman,Rock and a Hard Place
Ellie Goulding,Love Me Like You Do
Lee Brice,Soul
Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS)
Jordan Davis,Next Thing You Know
CAIN,I'm So Blessed (Best Day Remix)
Zach Bryan,Something in the Orange
Bailey Zimmerman,Never Leave
Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem)
Lizzo,2 Be Loved (Am I Ready)
Steve Lacy,Bad Habit
Dean Lewis,How Do I Say Goodbye
Marshmello & Khalid,Numb
Imagine Dragons,Bones
Lewis Capaldi,Forget Me
Lil Yachty,Poland
Kenshi Yonezu,KICK BACK
Megan Moroney,Tennessee Orange
Tyler Childers,Way of the Triune God (Hallelujah Version)
HARDY,the mockingbird & THE CROW
Bruno Mars,It Will Rain
The Weeknd,Earned It
Phil Collins,You'll Be In My Heart
Lady Gaga,Always Remember Us This Way
Bread,Make It With You
Chris Stapleton,Tennessee Whiskey
The Citizens of Halloween,This Is Halloween
Jackson Dean,Don’t Come Lookin’
Chris Stapleton,Joy of My Life
HARDY,TRUCK BED
David Guetta & Bebe Rexha,I'm Good (Blue)
"Bobby ""Boris"" Pickett & The Crypt-Kickers",Monster Mash
Beyoncé,CUFF IT
GOJIRA,Our Time Is Now
Harry Styles,Late Night Talking
Blake Shelton,No Body
"Drake, Kanye West, Lil Wayne & Eminem",Forever
blink-182,All the Small Things
Kate Bush,Running Up That Hill (A Deal with God)
Lauren Spencer Smith,Fingers Crossed
Grupo Frontera,No Se Va (En Vivo)
Marshmello & Juice WRLD,Bye Bye
Elton John & Dua Lipa,Cold Heart (PNAU Remix)
Thomas Rhett,Half Of Me (feat. Riley Green)
Coolio,Gangsta's Paradise (feat. L.V.)
Don Louis,Neon You
Larry Fleet,Where I Find God
Russell Dickerson & Jake Scott,She Likes It (feat. Jake Scott)
Tyler Hubbard,5 Foot 9
HARDY,here lies country music
Bad Bunny,Tití Me Preguntó
AJR,World's Smallest Violin
Bailey Zimmerman,Waiting
Yung Gravy,Betty (Get Money)
Armani White,BILLIE EILISH.
GloRilla & Cardi B,Tomorrow 2
Israel Kamakawiwo'ole,Somewhere Over the Rainbow
Lady Gaga,Hold My Hand
Cody Johnson,'Til You Can't
Jelly Roll,Save Me
Chris Stapleton,You Should Probably Leave
Tyler Childers,All Your'n
Rema & Selena Gomez,Calm Down
Ingrid Andress & Sam Hunt,Wishful Drinking
John Denver,"Take Me Home, Country Roads"
Green Day,"Boulevard of Broken Dreams (feat. John Gallagher Jr., Rebecca Naomi Jones, Stark Sands & Company)"
